9/13 18:35:12.917  SPELL_AURA_REMOVED,0x0000000000000000,nil,0x80000000,0x0000000000002684,"Lev",0x511,34775,"Haste",0x1,BUFF
9/13 18:35:13.000  SPELL_CAST_FAILED,0x0000000000002684,"Lev",0x511,0x0000000000000000,nil,0x80000000,14268,"Wing Clip",0x1,"Not yet recovered"
9/13 18:35:13.134  SPELL_CAST_FAILED,0x0000000000002684,"Lev",0x511,0x0000000000000000,nil,0x80000000,14268,"Wing Clip",0x1,"Not yet recovered"
9/13 18:35:13.317  SWING_DAMAGE,0xF13000471D00FDEC,"Clefthoof",0x10a28,0x0000000000002684,"Lev",0x511,250,1,0,0,0,1,nil,nil
9/13 18:35:13.967  SWING_DAMAGE,0xF14000FACB0004F6,"Penfold",0x1111,0xF13000471D00FDEC,"Clefthoof",0x10a28,163,1,0,0,0,nil,nil,nil
9/13 18:35:15.317  SWING_DAMAGE,0xF14000FACB0004F6,"Penfold",0x1111,0xF13000471D00FDEC,"Clefthoof",0x10a28,162,1,0,0,0,nil,nil,nil
9/13 18:35:16.001  SPELL_CAST_SUCCESS,0x0000000000002684,"Lev",0x511,0x0000000000000000,nil,0x80000000,19574,"Bestial Wrath",0x1
9/13 18:35:16.368  SPELL_AURA_REFRESH,0x0000000000000000,nil,0x80000000,0x0000000000002684,"Lev",0x511,34471,"The Beast Within",0x1,BUFF
9/13 18:35:16.368  SPELL_AURA_REFRESH,0x0000000000000000,nil,0x80000000,0x0000000000002684,"Lev",0x511,34471,"The Beast Within",0x1,BUFF
9/13 18:35:16.368  SPELL_AURA_REFRESH,0x0000000000000000,nil,0x80000000,0x0000000000002684,"Lev",0x511,34471,"The Beast Within",0x1,BUFF
9/13 18:35:16.368  SPELL_AURA_REFRESH,0x0000000000000000,nil,0x80000000,0x0000000000002684,"Lev",0x511,34471,"The Beast Within",0x1,BUFF
9/13 18:35:16.371  SPELL_AURA_REFRESH,0x0000000000000000,nil,0x80000000,0x0000000000002684,"Lev",0x511,34471,"The Beast Within",0x1,BUFF
9/13 18:35:16.371  SPELL_AURA_REFRESH,0x0000000000000000,nil,0x80000000,0x0000000000002684,"Lev",0x511,34471,"The Beast Within",0x1,BUFF
9/13 18:35:16.371  SPELL_AURA_REFRESH,0x0000000000000000,nil,0x80000000,0x0000000000002684,"Lev",0x511,34471,"The Beast Within",0x1,BUFF
9/13 18:35:16.371  SPELL_AURA_REFRESH,0x0000000000000000,nil,0x80000000,0x0000000000002684,"Lev",0x511,34471,"The Beast Within",0x1,BUFF
9/13 18:35:16.371  SPELL_AURA_REFRESH,0x0000000000000000,nil,0x80000000,0x0000000000002684,"Lev",0x511,34471,"The Beast Within",0x1,BUFF
9/13 18:35:16.371  SPELL_AURA_REFRESH,0x0000000000000000,nil,0x80000000,0x0000000000002684,"Lev",0x511,34471,"The Beast Within",0x1,BUFF
9/13 18:35:16.371  SPELL_AURA_REFRESH,0x0000000000000000,nil,0x80000000,0x0000000000002684,"Lev",0x511,34471,"The Beast Within",0x1,BUFF
9/13 18:35:16.371  SPELL_AURA_REFRESH,0x0000000000000000,nil,0x80000000,0x0000000000002684,"Lev",0x511,34471,"The Beast Within",0x1,BUFF
9/13 18:35:16.371  SPELL_AURA_APPLIED,0x0000000000000000,nil,0x80000000,0xF14000FACB0004F6,"Penfold",0x1111,19574,"Bestial Wrath",0x1,BUFF
9/13 18:35:16.371  SPELL_AURA_APPLIED,0x0000000000000000,nil,0x80000000,0x0000000000002684,"Lev",0x511,34471,"The Beast Within",0x1,BUFF
9/13 18:35:16.817  SWING_DAMAGE,0xF14000FACB0004F6,"Penfold",0x1111,0xF13000471D00FDEC,"Clefthoof",0x10a28,248,1,0,0,0,nil,nil,nil
9/13 18:35:17.017  SPELL_CAST_FAILED,0x0000000000002684,"Lev",0x511,0x0000000000000000,nil,0x80000000,27021,"Multi-Shot",0x1,"Can't do that while moving"
9/13 18:35:17.267  SPELL_CAST_START,0x0000000000002684,"Lev",0x511,0x0000000000000000,nil,0x80000000,27021,"Multi-Shot",0x1
9/13 18:35:17.667  SPELL_CAST_FAILED,0x0000000000002684,"Lev",0x511,0x0000000000000000,nil,0x80000000,27021,"Multi-Shot",0x1,"Interrupted"
9/13 18:35:17.667  SWING_DAMAGE,0xF13000471D00FDEC,"Clefthoof",0x10a28,0x0000000000002684,"Lev",0x511,157,1,0,0,0,nil,nil,1
9/13 18:35:18.117  SWING_MISSED,0x0000000000002684,"Lev",0x511,0xF13000471D00FDEC,"Clefthoof",0x10a28,MISS
9/13 18:35:18.317  SWING_MISSED,0x0000000000002684,"Lev",0x511,0xF13000471D00FDEC,"Clefthoof",0x10a28,MISS
9/13 18:35:18.417  SPELL_CAST_FAILED,0x0000000000002684,"Lev",0x511,0x0000000000000000,nil,0x80000000,5116,"Concussive Shot",0x40,"Target too close"
9/13 18:35:18.534  SWING_DAMAGE,0xF14000FACB0004F6,"Penfold",0x1111,0xF13000471D00FDEC,"Clefthoof",0x10a28,219,1,0,0,0,nil,nil,nil
9/13 18:35:19.667  SWING_DAMAGE,0xF13000471D00FDEC,"Clefthoof",0x10a28,0x0000000000002684,"Lev",0x511,266,1,0,0,0,1,nil,nil
9/13 18:35:19.867  SWING_DAMAGE,0xF14000FACB0004F6,"Penfold",0x1111,0xF13000471D00FDEC,"Clefthoof",0x10a28,232,1,0,0,0,nil,nil,nil
9/13 18:35:20.783  SWING_DAMAGE,0x0000000000002684,"Lev",0x511,0xF13000471D00FDEC,"Clefthoof",0x10a28,462,1,0,32,0,nil,nil,nil
